,point,bounds_respected,source,FP_GLD,FP_SLACK,GLD_PARAMS,FAILURE_SLACK,constraint_values,constraints_respected,experiment
0,[0.5 0.5 0.5 0.5],True,local,3.6839884372482795e-05,5e-05,[0.0873164  0.02906029 0.46357002 0.13231133],0.0,[-0.29289322 -0.29289322],True,model1_4_dof_slack_0.0
1,[1.  0.5 0.5 0.5],True,local,0.0028089177248106926,0.00339,[0.08721378 0.04352012 0.47534061 0.15856529],0.0,[ 0.11803399 -0.29289322],False,model1_4_dof_slack_0.0
2,[0.5 1.  0.5 0.5],True,local,0.003328424295073116,0.00339,[0.08266405 0.03363389 0.40645649 0.11884723],0.0,[ 0.11803399 -0.29289322],False,model1_4_dof_slack_0.0
3,[0.5 0.5 1.  0.5],True,local,0.0028283972692483804,0.00373,[0.08711285 0.0430943  0.4765295  0.15388732],0.0,[-0.29289322  0.11803399],False,model1_4_dof_slack_0.0
4,[0.5 0.5 0.5 1. ],True,local,0.003381245090148825,0.00331,[0.08265966 0.03374391 0.40518999 0.1202353 ],0.0,[-0.29289322  0.11803399],False,model1_4_dof_slack_0.0
5,[1.00000003e-09 5.00000001e-01 5.00000001e-01 5.00000001e-01],False,local,5.363445511637444e-07,1e-05,[0.08846197 0.02269326 0.42460606 0.12395265],0.0,[-0.5        -0.29289322],True,model1_4_dof_slack_0.0
6,[5.00000001e-01 1.00000003e-09 5.00000001e-01 5.00000001e-01],False,local,5.363445511637444e-07,0.0,[0.09038752 0.02706504 0.48437359 0.13305197],0.0,[-0.5        -0.29289322],True,model1_4_dof_slack_0.0
7,[5.00000001e-01 5.00000001e-01 1.00000003e-09 5.00000001e-01],False,local,5.363445511637444e-07,1e-05,[0.08851505 0.0230394  0.42400135 0.13089184],0.0,[-0.29289322 -0.5       ],True,model1_4_dof_slack_0.0
8,[5.00000001e-01 5.00000001e-01 5.00000001e-01 1.00000003e-09],False,local,5.363445511637444e-07,2e-05,[0.09049715 0.02720893 0.48390215 0.13714269],0.0,[-0.29289322 -0.5       ],True,model1_4_dof_slack_0.0
9,[0.51197827 0.96193291 0.30901699 1.        ],True,local,0.010679908019852581,0.01038,[0.08182037 0.03545783 0.33577399 0.12285488],0.0,[0.08969568 0.0466573 ],False,model1_4_dof_slack_0.0
10,[0.67556419 0.77112356 0.60547871 0.85133918],True,local,0.008091689238142932,0.00833,[0.0810571  0.03996616 0.43370534 0.12899203],0.0,[0.02519194 0.04469271],False,model1_4_dof_slack_0.0
