,point,bounds_respected,source,FP_GLD,FP_SLACK,GLD_PARAMS,FAILURE_SLACK,constraint_values,constraints_respected,experiment
0,"[0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5
 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5
 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 1.  1.  1.  1. ]",True,local,8.03630708241464e-05,0.00018,[0.06274587 0.01753359 0.38159667 0.11359752],0.0,"[ 0.06718737  0.06718737 -0.1339746  -0.1339746  -0.1339746  -0.1339746
 -0.1339746  -0.1339746  -0.1339746  -0.1339746   0.          0.
  0.          0.        ]",False,model4_50_dof_slack_0.0
1,"[1.  0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5
 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5
 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 1.  1.  1.  1. ]",True,local,0.0001271463005270088,0.00027,[0.06220083 0.01790546 0.37778834 0.11564174],0.0,"[ 0.57233019  0.06718737 -0.1339746  -0.1339746  -0.1339746  -0.1339746
 -0.1339746  -0.1339746  -0.1339746  -0.1339746   0.          0.
  0.          0.        ]",False,model4_50_dof_slack_0.0
2,"[0.5 1.  0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5
 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5
 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 1.  1.  1.  1. ]",True,local,0.00011708312013026182,0.00024,[0.06214802 0.01794877 0.37903141 0.11731959],0.0,"[ 0.57233019  0.06718737 -0.1339746  -0.1339746  -0.1339746  -0.1339746
 -0.1339746  -0.1339746  -0.1339746  -0.1339746   0.          0.
  0.          0.        ]",False,model4_50_dof_slack_0.0
3,"[0.5 0.5 1.  0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5
 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5
 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 1.  1.  1.  1. ]",True,local,8.039308083951655e-05,0.00018,[0.06274795 0.01753427 0.38156483 0.11360697],0.0,"[ 0.37436854  0.06718737 -0.1339746  -0.1339746  -0.1339746  -0.1339746
 -0.1339746  -0.1339746  -0.1339746  -0.1339746   0.          0.
  0.          0.        ]",False,model4_50_dof_slack_0.0
4,"[0.5 0.5 0.5 1.  0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5
 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5
 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 1.  1.  1.  1. ]",True,local,0.00013267295137765257,0.00025,[0.06219575 0.01789101 0.37764128 0.11475145],0.0,"[ 0.06718737  0.57233019 -0.1339746  -0.1339746  -0.1339746  -0.1339746
 -0.1339746  -0.1339746  -0.1339746  -0.1339746   0.          0.
  0.          0.        ]",False,model4_50_dof_slack_0.0
5,"[0.5 0.5 0.5 0.5 1.  0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5
 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5
 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 1.  1.  1.  1. ]",True,local,0.00012533226893821734,0.00027,[0.06215397 0.01790223 0.3785971  0.11569476],0.0,"[ 0.06718737  0.57233019 -0.1339746  -0.1339746  -0.1339746  -0.1339746
 -0.1339746  -0.1339746  -0.1339746  -0.1339746   0.          0.
  0.          0.        ]",False,model4_50_dof_slack_0.0
6,"[0.5 0.5 0.5 0.5 0.5 1.  0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5
 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5
 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 1.  1.  1.  1. ]",True,local,8.035374073255272e-05,0.00018,[0.0627451  0.01753343 0.38157721 0.113608  ],0.0,"[ 0.06718737  0.37436854 -0.1339746  -0.1339746  -0.1339746  -0.1339746
 -0.1339746  -0.1339746  -0.1339746  -0.1339746   0.          0.
  0.          0.        ]",False,model4_50_dof_slack_0.0
7,"[0.5 0.5 0.5 0.5 0.5 0.5 1.  0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5
 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5
 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 1.  1.  1.  1. ]",True,local,0.0003076158418072429,0.0006,[0.06159015 0.0182085  0.37064255 0.1089947 ],0.0,"[ 0.06718737  0.06718737  0.22474487 -0.1339746  -0.1339746  -0.1339746
 -0.1339746  -0.1339746  -0.1339746  -0.1339746   0.          0.
  0.          0.        ]",False,model4_50_dof_slack_0.0
8,"[0.5 0.5 0.5 0.5 0.5 0.5 0.5 1.  0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5
 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5
 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 1.  1.  1.  1. ]",True,local,0.000302811033038879,0.00055,[0.06163272 0.01822172 0.37048462 0.10941842],0.0,"[ 0.06718737  0.06718737  0.22474487 -0.1339746  -0.1339746  -0.1339746
 -0.1339746  -0.1339746  -0.1339746  -0.1339746   0.          0.
  0.          0.        ]",False,model4_50_dof_slack_0.0
9,"[0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 1.  0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5
 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5
 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 1.  1.  1.  1. ]",True,local,7.621313576661881e-05,0.00019,[0.06241287 0.01755591 0.38450646 0.11490176],0.0,"[ 0.06718737  0.06718737  0.22474487 -0.1339746  -0.1339746  -0.1339746
 -0.1339746  -0.1339746  -0.1339746  -0.1339746   0.          0.
  0.          0.        ]",False,model4_50_dof_slack_0.0
10,"[0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 1.  0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5
 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5
 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 1.  1.  1.  1. ]",True,local,7.433603167349856e-05,0.00018,[0.06240451 0.01756534 0.3845893  0.1154147 ],0.0,"[ 0.06718737  0.06718737  0.22474487 -0.1339746  -0.1339746  -0.1339746
 -0.1339746  -0.1339746  -0.1339746  -0.1339746   0.          0.
  0.          0.        ]",False,model4_50_dof_slack_0.0
