,point,bounds_respected,source,FP_GLD,FP_SLACK,GLD_PARAMS,FAILURE_SLACK,constraint_values,constraints_respected,experiment
0,[0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5],True,local,0.0,1e-05,[0.07445847 0.01798012 0.43818745 0.13671358],0.0,"[-0.29289322 -0.29289322 -0.29289322 -0.29289322 -0.29289322 -0.29289322
 -0.29289322 -0.29289322]",True,model2_16_dof_slack_0.0
1,[1.  0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5],True,local,5.363445511637444e-07,1e-05,[0.07354987 0.02002765 0.4268194  0.13264919],0.0,"[ 0.11803399 -0.29289322 -0.29289322 -0.29289322 -0.29289322 -0.29289322
 -0.29289322 -0.29289322]",False,model2_16_dof_slack_0.0
2,[0.5 1.  0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5],True,local,5.363445511637444e-07,5e-05,[0.07240458 0.01918865 0.41820079 0.13246523],0.0,"[ 0.11803399 -0.29289322 -0.29289322 -0.29289322 -0.29289322 -0.29289322
 -0.29289322 -0.29289322]",False,model2_16_dof_slack_0.0
3,[0.5 0.5 1.  0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5],True,local,8.696778973964854e-07,3e-05,[0.07356597 0.01987772 0.42762331 0.12904482],0.0,"[-0.29289322  0.11803399 -0.29289322 -0.29289322 -0.29289322 -0.29289322
 -0.29289322 -0.29289322]",False,model2_16_dof_slack_0.0
4,[0.5 0.5 0.5 1.  0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5],True,local,8.696778973964854e-07,7e-05,[0.07239481 0.01913933 0.41638846 0.12786726],0.0,"[-0.29289322  0.11803399 -0.29289322 -0.29289322 -0.29289322 -0.29289322
 -0.29289322 -0.29289322]",False,model2_16_dof_slack_0.0
5,[0.5 0.5 0.5 0.5 1.  0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5],True,local,8.696778973964854e-07,3e-05,[0.07354041 0.01997328 0.42768597 0.13072122],0.0,"[-0.29289322 -0.29289322  0.11803399 -0.29289322 -0.29289322 -0.29289322
 -0.29289322 -0.29289322]",False,model2_16_dof_slack_0.0
6,[0.5 0.5 0.5 0.5 0.5 1.  0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5],True,local,5.363445511637444e-07,4e-05,[0.07244933 0.01916094 0.41745836 0.12988538],0.0,"[-0.29289322 -0.29289322  0.11803399 -0.29289322 -0.29289322 -0.29289322
 -0.29289322 -0.29289322]",False,model2_16_dof_slack_0.0
7,[0.5 0.5 0.5 0.5 0.5 0.5 1.  0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5],True,local,8.696778973964854e-07,2e-05,[0.07356525 0.01990622 0.42713948 0.12881467],0.0,"[-0.29289322 -0.29289322 -0.29289322  0.11803399 -0.29289322 -0.29289322
 -0.29289322 -0.29289322]",False,model2_16_dof_slack_0.0
8,[0.5 0.5 0.5 0.5 0.5 0.5 0.5 1.  0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5],True,local,8.696778973964854e-07,3e-05,[0.07237163 0.01910848 0.41694897 0.1271138 ],0.0,"[-0.29289322 -0.29289322 -0.29289322  0.11803399 -0.29289322 -0.29289322
 -0.29289322 -0.29289322]",False,model2_16_dof_slack_0.0
9,[0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 1.  0.5 0.5 0.5 0.5 0.5 0.5 0.5],True,local,1.7405017514570706e-06,1e-05,[0.07369061 0.01991839 0.42320993 0.12737741],0.0,"[-0.29289322 -0.29289322 -0.29289322 -0.29289322  0.11803399 -0.29289322
 -0.29289322 -0.29289322]",False,model2_16_dof_slack_0.0
10,[0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 1.  0.5 0.5 0.5 0.5 0.5 0.5],True,local,2.276846294648542e-06,2e-05,[0.07238894 0.01917878 0.41355556 0.12425722],0.0,"[-0.29289322 -0.29289322 -0.29289322 -0.29289322  0.11803399 -0.29289322
 -0.29289322 -0.29289322]",False,model2_16_dof_slack_0.0
11,[0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 1.  0.5 0.5 0.5 0.5 0.5],True,local,1.407168397252057e-06,3e-05,[0.07363839 0.01989577 0.42417817 0.12744507],0.0,"[-0.29289322 -0.29289322 -0.29289322 -0.29289322 -0.29289322  0.11803399
 -0.29289322 -0.29289322]",False,model2_16_dof_slack_0.0
12,[0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 1.  0.5 0.5 0.5 0.5],True,local,1.407168397252057e-06,2e-05,[0.07250502 0.01915836 0.41320894 0.12732779],0.0,"[-0.29289322 -0.29289322 -0.29289322 -0.29289322 -0.29289322  0.11803399
 -0.29289322 -0.29289322]",False,model2_16_dof_slack_0.0
13,[0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 1.  0.5 0.5 0.5],True,local,1.407168397252057e-06,1e-05,[0.07370841 0.01992693 0.42338719 0.12805182],0.0,"[-0.29289322 -0.29289322 -0.29289322 -0.29289322 -0.29289322 -0.29289322
  0.11803399 -0.29289322]",False,model2_16_dof_slack_0.0
14,[0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 1.  0.5 0.5],True,local,2.276846294648542e-06,2e-05,[0.07255973 0.01909308 0.41249334 0.12386831],0.0,"[-0.29289322 -0.29289322 -0.29289322 -0.29289322 -0.29289322 -0.29289322
  0.11803399 -0.29289322]",False,model2_16_dof_slack_0.0
15,[0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 1.  0.5],True,local,1.7405017514570706e-06,3e-05,[0.073635   0.01987618 0.4247863  0.12597286],0.0,"[-0.29289322 -0.29289322 -0.29289322 -0.29289322 -0.29289322 -0.29289322
 -0.29289322  0.11803399]",False,model2_16_dof_slack_0.0
16,[0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 1. ],True,local,1.407168397252057e-06,3e-05,[0.07238507 0.01926957 0.41377146 0.12810569],0.0,"[-0.29289322 -0.29289322 -0.29289322 -0.29289322 -0.29289322 -0.29289322
 -0.29289322  0.11803399]",False,model2_16_dof_slack_0.0
17,"[1.00000003e-09 5.00000001e-01 5.00000001e-01 5.00000001e-01
 5.00000001e-01 5.00000001e-01 5.00000001e-01 5.00000001e-01
 5.00000001e-01 5.00000001e-01 5.00000001e-01 5.00000001e-01
 5.00000001e-01 5.00000001e-01 5.00000001e-01 5.00000001e-01]",False,local,0.0,1e-05,[0.07541832 0.01717011 0.42378337 0.13547277],0.0,"[-0.5        -0.29289322 -0.29289322 -0.29289322 -0.29289322 -0.29289322
 -0.29289322 -0.29289322]",True,model2_16_dof_slack_0.0
18,"[5.00000001e-01 1.00000003e-09 5.00000001e-01 5.00000001e-01
 5.00000001e-01 5.00000001e-01 5.00000001e-01 5.00000001e-01
 5.00000001e-01 5.00000001e-01 5.00000001e-01 5.00000001e-01
 5.00000001e-01 5.00000001e-01 5.00000001e-01 5.00000001e-01]",False,local,0.0,0.0,[0.07563518 0.01761414 0.43818465 0.13398172],0.0,"[-0.5        -0.29289322 -0.29289322 -0.29289322 -0.29289322 -0.29289322
 -0.29289322 -0.29289322]",True,model2_16_dof_slack_0.0
19,"[5.00000001e-01 5.00000001e-01 1.00000003e-09 5.00000001e-01
 5.00000001e-01 5.00000001e-01 5.00000001e-01 5.00000001e-01
 5.00000001e-01 5.00000001e-01 5.00000001e-01 5.00000001e-01
 5.00000001e-01 5.00000001e-01 5.00000001e-01 5.00000001e-01]",False,local,0.0,0.0,[0.07535762 0.01719761 0.4240945  0.13642223],0.0,"[-0.29289322 -0.5        -0.29289322 -0.29289322 -0.29289322 -0.29289322
 -0.29289322 -0.29289322]",True,model2_16_dof_slack_0.0
